obdobi	kod	cena
01/1999	84591	996
01/1999	84592	2
01/1999	84599	12
02/1999	84591	1675
02/1999	84592	369
02/1999	84599	88
03/1999	84591	5326
03/1999	84592	261
03/1999	84599	374
04/1999	84591	2942
04/1999	84599	152
05/1999	84591	1597
05/1999	84599	127
06/1999	84591	3814
06/1999	84599	657
07/1999	84591	699
07/1999	84599	127
08/1999	84591	2559
08/1999	84599	109
09/1999	84591	5823
09/1999	84592	10
09/1999	84599	134
10/1999	84591	3670
10/1999	84592	920
10/1999	84599	127
11/1999	84591	2915
11/1999	84592	476
11/1999	84599	280
12/1999	84591	2989
12/1999	84599	233
01/2000	84591	1123
01/2000	84592	66
01/2000	84599	40
02/2000	84591	716
02/2000	84592	481
02/2000	84599	423
03/2000	84591	1350
03/2000	84599	186
04/2000	84591	2439
04/2000	84599	109
05/2000	84591	1435
05/2000	84599	289
06/2000	84591	4219
06/2000	84599	155
07/2000	84591	5052
07/2000	84599	47
08/2000	84591	8606
08/2000	84599	691
09/2000	84591	5754
09/2000	84592	22
09/2000	84599	1391
10/2000	84591	10554
10/2000	84592	228
10/2000	84599	768
11/2000	84591	6516
11/2000	84592	3
11/2000	84599	756
12/2000	84591	5513
12/2000	84592	411
12/2000	84599	263
01/2001	84591	6700
01/2001	84592	85
01/2001	84599	100
02/2001	84591	4191
02/2001	84592	31
02/2001	84599	1676
03/2001	84591	3040
03/2001	84592	17
03/2001	84599	1183
04/2001	84591	3224
04/2001	84599	1894
05/2001	84591	5666
05/2001	84599	303
06/2001	84591	4163
06/2001	84599	324
07/2001	84591	7771
07/2001	84599	117
08/2001	84591	11206
08/2001	84592	17
08/2001	84599	190
09/2001	84591	8446
09/2001	84592	1
09/2001	84599	268
10/2001	84591	6007
10/2001	84592	6
10/2001	84599	306
11/2001	84591	5822
11/2001	84599	403
12/2001	84591	3352
12/2001	84592	36
12/2001	84599	370
01/2002	84591	4700
01/2002	84599	251
02/2002	84591	2490
02/2002	84599	1440
03/2002	84591	3675
03/2002	84592	193
03/2002	84599	1015
04/2002	84591	3743
04/2002	84599	579
05/2002	84591	2179
05/2002	84592	17
05/2002	84599	975
06/2002	84591	1554
06/2002	84599	310
07/2002	84591	3411
07/2002	84599	1054
08/2002	84591	4406
08/2002	84599	386
09/2002	84591	7449
09/2002	84592	32
09/2002	84599	1275
10/2002	84591	6944
10/2002	84599	893
11/2002	84591	7792
11/2002	84592	131
11/2002	84599	488
12/2002	84591	1354
12/2002	84592	243
12/2002	84599	342
01/2003	84591	4196
01/2003	84599	181
02/2003	84591	4764
02/2003	84592	67
02/2003	84599	489
03/2003	84591	2197
03/2003	84592	529
03/2003	84599	995
04/2003	84591	2275
04/2003	84599	1347
05/2003	84591	1812
05/2003	84599	2000
06/2003	84591	1029
06/2003	84599	735
07/2003	84591	4197
07/2003	84599	1453
08/2003	84591	2440
08/2003	84599	972
09/2003	84591	3829
09/2003	84599	911
10/2003	84591	1729
10/2003	84592	1107
10/2003	84599	682
11/2003	84591	1227
11/2003	84592	5
11/2003	84599	593
12/2003	84591	888
12/2003	84592	544
12/2003	84599	1246
01/2004	84591	2694
01/2004	84599	360
02/2004	84591	2374
02/2004	84592	2
02/2004	84599	817
03/2004	84591	1796
03/2004	84592	2
03/2004	84599	1904
04/2004	84591	3182
04/2004	84599	2005
05/2004	84591	2354
05/2004	84599	349
06/2004	84591	3399
06/2004	84592	50
06/2004	84599	1228
07/2004	84591	4103
07/2004	84592	1461
07/2004	84599	2998
08/2004	84591	8067
08/2004	84592	33
08/2004	84599	2794
09/2004	84591	11123
09/2004	84592	3582
09/2004	84599	2894
10/2004	84591	7925
10/2004	84592	7765
10/2004	84599	1925
11/2004	84591	8921
11/2004	84592	904
11/2004	84599	3531
12/2004	84591	1790
12/2004	84599	1266
01/2005	84591	3471
01/2005	84592	21
01/2005	84599	2426
02/2005	84591	10210
02/2005	84599	4703
03/2005	84591	2663
03/2005	84599	5291
04/2005	84591	1641
04/2005	84599	7204
05/2005	84591	2272
05/2005	84599	7426
06/2005	84591	3446
06/2005	84599	7853
07/2005	84591	6392
07/2005	84599	5837
08/2005	84591	7733
08/2005	84599	4122
09/2005	84591	6002
09/2005	84592	68
09/2005	84599	2433
10/2005	84591	11050
10/2005	84592	0
10/2005	84599	7761
11/2005	84591	5623
11/2005	84592	163
11/2005	84599	3327
12/2005	84591	1545
12/2005	84592	26
12/2005	84599	1988
01/2006	84591	5899
01/2006	84592	5
01/2006	84599	2282
02/2006	84591	4562
02/2006	84599	1943
