obdobi	kod	cena
01/1999	5821	1250
01/1999	5822	272
01/1999	5829	111
02/1999	5821	682
02/1999	5822	1022
02/1999	5829	49
03/1999	5821	636
03/1999	5822	952
03/1999	5829	372
04/1999	5821	1530
04/1999	5822	1059
04/1999	5829	473
05/1999	5821	1433
05/1999	5822	712
05/1999	5829	80
06/1999	5821	567
06/1999	5822	2556
06/1999	5829	26
07/1999	5821	929
07/1999	5822	745
07/1999	5829	80
08/1999	5821	1051
08/1999	5822	986
08/1999	5829	34
09/1999	5821	1220
09/1999	5822	926
09/1999	5829	331
10/1999	5821	1075
10/1999	5822	2215
10/1999	5829	1415
11/1999	5821	1859
11/1999	5822	914
11/1999	5829	400
12/1999	5821	1294
12/1999	5822	1340
12/1999	5829	49
01/2000	5821	1239
01/2000	5822	1793
01/2000	5829	866
02/2000	5821	1392
02/2000	5822	945
02/2000	5829	1100
03/2000	5821	1967
03/2000	5822	1404
03/2000	5829	184
04/2000	5821	1716
04/2000	5822	1227
04/2000	5829	1090
05/2000	5821	1278
05/2000	5822	2840
05/2000	5829	67
06/2000	5821	2717
06/2000	5822	1172
06/2000	5829	1546
07/2000	5821	1467
07/2000	5822	838
07/2000	5829	26
08/2000	5821	1225
08/2000	5822	349
08/2000	5829	1916
09/2000	5821	2363
09/2000	5822	862
09/2000	5829	95
10/2000	5821	5571
10/2000	5822	404
10/2000	5829	1476
11/2000	5821	1439
11/2000	5822	754
11/2000	5829	107
12/2000	5821	971
12/2000	5822	508
12/2000	5829	39
01/2001	5821	6425
01/2001	5822	329
01/2001	5829	49
02/2001	5821	4352
02/2001	5822	728
02/2001	5829	1642
03/2001	5821	4279
03/2001	5822	2837
03/2001	5829	427
04/2001	5821	673
04/2001	5822	849
04/2001	5829	584
05/2001	5821	1068
05/2001	5822	1861
05/2001	5829	1404
06/2001	5821	919
06/2001	5822	2345
06/2001	5829	1562
07/2001	5821	629
07/2001	5822	1044
07/2001	5829	149
08/2001	5821	485
08/2001	5822	1408
08/2001	5829	1646
09/2001	5821	479
09/2001	5822	478
09/2001	5829	55
10/2001	5821	1068
10/2001	5822	699
10/2001	5829	557
