obdobi	kod	cena
01/1999	0	79162
01/1999	1	32
01/1999	2	34091
01/1999	3	180
01/1999	5	80716
01/1999	6	119217
01/1999	7	499333
01/1999	8	336253
02/1999	0	94103
02/1999	2	47407
02/1999	3	54
02/1999	4	191
02/1999	5	78754
02/1999	6	109114
02/1999	7	459542
02/1999	8	440360
03/1999	0	97819
03/1999	1	26
03/1999	2	35464
03/1999	3	256
03/1999	4	0
03/1999	5	75130
03/1999	6	156554
03/1999	7	588091
03/1999	8	711008
04/1999	0	99940
04/1999	2	79392
04/1999	3	400
04/1999	4	3
04/1999	5	73501
04/1999	6	157499
04/1999	7	427094
04/1999	8	685031
05/1999	0	77416
05/1999	1	1
05/1999	2	49188
05/1999	3	287
05/1999	4	0
05/1999	5	73425
05/1999	6	138971
05/1999	7	555350
05/1999	8	620887
06/1999	0	92634
06/1999	1	208
06/1999	2	20794
06/1999	3	642
06/1999	4	78
06/1999	5	64695
06/1999	6	150692
06/1999	7	557197
06/1999	8	586216
07/1999	0	78559
07/1999	1	13
07/1999	2	38040
07/1999	3	23
07/1999	4	35
07/1999	5	100977
07/1999	6	128825
07/1999	7	491704
07/1999	8	499551
08/1999	0	86135
08/1999	1	17
08/1999	2	29096
08/1999	3	119
08/1999	4	272
08/1999	5	93288
08/1999	6	149140
08/1999	7	498151
08/1999	8	655157
09/1999	0	76924
09/1999	1	3
09/1999	2	23261
09/1999	3	779
09/1999	4	4
09/1999	5	75902
09/1999	6	176147
09/1999	7	496355
09/1999	8	786189
10/1999	0	104914
10/1999	1	96
10/1999	2	33468
10/1999	3	1059
10/1999	4	69
10/1999	5	107688
10/1999	6	182675
10/1999	7	650848
10/1999	8	852903
11/1999	0	114521
11/1999	1	132
11/1999	2	34523
11/1999	3	642
11/1999	4	156
11/1999	5	140059
11/1999	6	216835
11/1999	7	917433
11/1999	8	979221
12/1999	0	118494
12/1999	1	1044
12/1999	2	35422
12/1999	3	163
12/1999	5	113664
12/1999	6	187187
12/1999	7	964840
12/1999	8	728159
01/2000	0	98201
01/2000	2	21658
01/2000	5	92267
01/2000	6	187814
01/2000	7	659978
01/2000	8	534135
02/2000	0	97509
02/2000	2	36833
02/2000	3	5
02/2000	5	93825
02/2000	6	237264
02/2000	7	624571
02/2000	8	689008
03/2000	0	100182
03/2000	1	63
03/2000	2	62205
03/2000	3	58
03/2000	4	39
03/2000	5	107843
03/2000	6	258559
03/2000	7	746741
03/2000	8	901525
04/2000	0	87917
04/2000	1	97
04/2000	2	45453
04/2000	3	1069
04/2000	5	118610
04/2000	6	233608
04/2000	7	641729
04/2000	8	705771
05/2000	0	124422
05/2000	1	88
05/2000	2	79283
05/2000	3	2
05/2000	4	6
05/2000	5	166169
05/2000	6	245995
05/2000	7	749421
05/2000	8	843287
06/2000	0	109485
06/2000	1	246
06/2000	2	69656
06/2000	3	298
06/2000	4	150
06/2000	5	135858
06/2000	6	227243
06/2000	7	684465
06/2000	8	710302
07/2000	0	101676
07/2000	1	318
07/2000	2	64796
07/2000	5	109371
07/2000	6	236751
07/2000	7	548904
07/2000	8	679166
08/2000	0	123341
08/2000	2	67217
08/2000	3	1518
08/2000	5	119802
08/2000	6	250485
08/2000	7	716157
08/2000	8	891437
09/2000	0	107650
09/2000	1	472
09/2000	2	35913
09/2000	3	495
09/2000	4	42
09/2000	5	115290
09/2000	6	241568
09/2000	7	710244
09/2000	8	875157
10/2000	0	117395
10/2000	1	7
10/2000	2	48130
10/2000	3	4
10/2000	4	14
10/2000	5	154343
10/2000	6	343450
10/2000	7	1420034
10/2000	8	1270375
11/2000	0	129372
11/2000	1	0
11/2000	2	76779
11/2000	3	23
11/2000	4	21
