obdobi	kod	cena
01/1999	74443	579
01/1999	74449	531
02/1999	74443	436
02/1999	74449	86
03/1999	74443	303
03/1999	74449	315
04/1999	74443	282
04/1999	74449	736
05/1999	74443	515
05/1999	74449	393
06/1999	74441	40
06/1999	74443	257
06/1999	74449	368
07/1999	74443	925
07/1999	74449	204
08/1999	74443	136
08/1999	74449	247
09/1999	74441	41
09/1999	74443	1185
09/1999	74449	202
10/1999	74441	7
10/1999	74443	909
10/1999	74449	118
11/1999	74441	20
11/1999	74443	969
11/1999	74449	1192
12/1999	74443	557
12/1999	74449	320
01/2000	74441	5
01/2000	74443	630
01/2000	74449	42
02/2000	74443	196
02/2000	74449	263
03/2000	74443	1410
03/2000	74449	360
04/2000	74443	305
04/2000	74449	175
05/2000	74443	327
05/2000	74449	138
06/2000	74443	376
06/2000	74449	109
07/2000	74443	1099
07/2000	74449	89
08/2000	74443	136
08/2000	74449	149
09/2000	74441	2
09/2000	74443	895
09/2000	74449	202
10/2000	74443	1269
10/2000	74449	1053
11/2000	74441	122
11/2000	74443	1206
11/2000	74449	206
12/2000	74443	480
12/2000	74449	439
01/2001	74443	753
01/2001	74449	447
02/2001	74441	12
02/2001	74443	1537
02/2001	74449	195
03/2001	74443	2782
03/2001	74449	933
04/2001	74443	621
04/2001	74449	464
05/2001	74443	1723
05/2001	74449	172
06/2001	74441	2
06/2001	74443	927
06/2001	74449	232
07/2001	74441	574
07/2001	74443	737
07/2001	74449	903
08/2001	74443	1052
08/2001	74449	772
09/2001	74443	1520
09/2001	74449	114
10/2001	74443	1496
10/2001	74449	404
11/2001	74443	2101
11/2001	74449	338
12/2001	74441	41
12/2001	74443	871
12/2001	74449	227
01/2002	74443	1066
01/2002	74449	253
02/2002	74443	1017
02/2002	74449	559
03/2002	74443	3758
03/2002	74449	1140
04/2002	74443	3767
04/2002	74449	983
05/2002	74443	1021
05/2002	74449	310
06/2002	74443	989
06/2002	74449	940
07/2002	74443	1382
07/2002	74449	75
08/2002	74443	237
08/2002	74449	83
09/2002	74443	1217
09/2002	74449	412
10/2002	74443	2236
10/2002	74449	573
11/2002	74443	1010
11/2002	74449	508
12/2002	74443	458
12/2002	74449	363
01/2003	74443	1430
01/2003	74449	124
02/2003	74443	2324
03/2003	74441	67
03/2003	74443	1933
03/2003	74449	507
04/2003	74443	2173
04/2003	74449	533
05/2003	74443	2073
05/2003	74449	740
06/2003	74443	2322
06/2003	74449	177
07/2003	74443	749
07/2003	74449	1012
08/2003	74443	1147
08/2003	74449	203
09/2003	74443	2745
09/2003	74449	1826
10/2003	74443	1969
10/2003	74449	107
11/2003	74443	2045
11/2003	74449	108
12/2003	74443	1980
12/2003	74449	449
01/2004	74443	1663
01/2004	74449	11
02/2004	74443	3110
02/2004	74449	572
03/2004	74443	1687
03/2004	74449	64
04/2004	74443	1179
04/2004	74449	272
05/2004	74443	3610
05/2004	74449	74
06/2004	74441	192
06/2004	74443	1511
06/2004	74449	408
07/2004	74443	1547
07/2004	74449	572
08/2004	74441	98
08/2004	74443	3153
08/2004	74449	2136
09/2004	74441	62
09/2004	74443	3503
09/2004	74449	1540
10/2004	74443	1381
10/2004	74449	484
11/2004	74443	2201
11/2004	74449	215
12/2004	74443	2347
12/2004	74449	132
01/2005	74443	2180
01/2005	74449	546
02/2005	74443	2427
02/2005	74449	516
03/2005	74443	2071
03/2005	74449	1225
04/2005	74441	186
04/2005	74443	1811
04/2005	74449	95
05/2005	74443	1278
05/2005	74449	173
06/2005	74443	2031
06/2005	74449	22
07/2005	74441	273
07/2005	74443	612
07/2005	74449	361
08/2005	74441	618
08/2005	74443	2021
08/2005	74449	66
09/2005	74443	2613
09/2005	74449	47
10/2005	74441	696
10/2005	74443	3007
10/2005	74449	82
11/2005	74441	573
11/2005	74443	2255
11/2005	74449	424
12/2005	74441	722
12/2005	74443	2917
12/2005	74449	438
01/2006	74441	117
01/2006	74443	3342
01/2006	74449	27
02/2006	74441	92
02/2006	74443	5732
02/2006	74449	642
03/2006	74441	2596
03/2006	74443	4912
03/2006	74449	38
04/2006	74441	2066
04/2006	74443	7906
04/2006	74449	1564
05/2006	74441	228
05/2006	74443	7402
05/2006	74449	1064
06/2006	74443	4770
06/2006	74449	302
