obdobi	kod	cena
01/1999	87461	30
02/1999	87461	818
02/1999	87465	10
02/1999	87469	249
03/1999	87461	1072
03/1999	87465	3
03/1999	87469	166
04/1999	87461	70
04/1999	87465	4
05/1999	87461	618
05/1999	87465	2
06/1999	87461	56
07/1999	87461	956
07/1999	87465	1
07/1999	87469	82
08/1999	87461	567
08/1999	87465	0
08/1999	87469	6
09/1999	87461	841
09/1999	87465	4
10/1999	87461	5051
10/1999	87465	1
11/1999	87461	3529
12/1999	87461	1174
12/1999	87465	17
12/1999	87469	27
01/2000	87461	1722
01/2000	87465	35
02/2000	87461	650
02/2000	87465	25
03/2000	87461	256
04/2000	87461	108
04/2000	87465	9
05/2000	87461	764
05/2000	87465	2
06/2000	87461	1985
06/2000	87465	28
07/2000	87461	996
08/2000	87461	1810
08/2000	87465	53
09/2000	87461	370
09/2000	87465	10
10/2000	87461	1237
10/2000	87465	210
10/2000	87469	224
11/2000	87461	2291
11/2000	87465	136
12/2000	87461	2414
12/2000	87465	67
01/2001	87461	2159
01/2001	87465	90
02/2001	87461	1782
02/2001	87465	191
03/2001	87461	418
03/2001	87465	289
04/2001	87461	487
04/2001	87465	175
05/2001	87461	5
05/2001	87465	132
06/2001	87461	575
06/2001	87465	80
06/2001	87469	22
07/2001	87461	1698
07/2001	87465	122
07/2001	87469	4
08/2001	87461	528
08/2001	87465	188
08/2001	87469	4
09/2001	87461	1887
09/2001	87465	78
10/2001	87461	2425
10/2001	87463	30
10/2001	87465	231
10/2001	87469	5
11/2001	87461	1431
11/2001	87465	81
11/2001	87469	13
12/2001	87461	982
12/2001	87465	141
12/2001	87469	25
01/2002	87461	396
01/2002	87465	37
02/2002	87461	497
02/2002	87465	242
02/2002	87469	24
03/2002	87461	648
03/2002	87463	2
03/2002	87465	261
04/2002	87461	454
04/2002	87465	210
04/2002	87469	4
05/2002	87461	341
05/2002	87465	151
05/2002	87469	4
06/2002	87461	370
06/2002	87465	224
07/2002	87461	994
07/2002	87463	3
07/2002	87465	150
07/2002	87469	19
08/2002	87461	415
08/2002	87465	228
08/2002	87469	2
09/2002	87461	448
09/2002	87463	1
09/2002	87465	278
09/2002	87469	27
10/2002	87461	551
10/2002	87465	230
10/2002	87469	15
11/2002	87461	1028
11/2002	87465	670
12/2002	87461	2175
12/2002	87465	272
01/2003	87461	1546
01/2003	87465	351
02/2003	87461	568
02/2003	87465	303
03/2003	87461	1574
03/2003	87465	265
04/2003	87461	305
04/2003	87465	236
04/2003	87469	3
05/2003	87461	763
05/2003	87465	222
06/2003	87461	643
06/2003	87465	200
07/2003	87461	1146
07/2003	87465	531
07/2003	87469	236
08/2003	87461	371
08/2003	87465	191
08/2003	87469	47
09/2003	87461	1095
09/2003	87465	507
10/2003	87461	1490
10/2003	87465	273
11/2003	87461	695
11/2003	87465	350
11/2003	87469	274
12/2003	87461	1639
12/2003	87463	7
12/2003	87465	165
01/2004	87461	192
01/2004	87465	50
01/2004	87469	20
02/2004	87461	698
02/2004	87463	20
02/2004	87465	138
02/2004	87469	2
03/2004	87461	493
03/2004	87465	567
03/2004	87469	10
04/2004	87461	1305
04/2004	87465	3276
04/2004	87469	800
05/2004	87461	1330
05/2004	87465	213
05/2004	87469	30
06/2004	87461	1883
06/2004	87465	21
06/2004	87469	275
07/2004	87461	2622
07/2004	87465	335
07/2004	87469	123
08/2004	87461	7567
08/2004	87465	251
08/2004	87469	1
09/2004	87461	6632
09/2004	87465	829
09/2004	87469	0
10/2004	87461	7874
10/2004	87465	543
10/2004	87469	48
11/2004	87461	5180
11/2004	87465	624
11/2004	87469	1
12/2004	87461	1534
12/2004	87465	205
12/2004	87469	2
01/2005	87461	4105
01/2005	87465	728
01/2005	87469	68
02/2005	87461	1916
02/2005	87463	7
02/2005	87465	366
02/2005	87469	301
03/2005	87461	1654
03/2005	87465	559
03/2005	87469	93
04/2005	87461	2470
04/2005	87465	356
04/2005	87469	6
05/2005	87461	1321
05/2005	87465	571
05/2005	87469	8
06/2005	87461	1153
06/2005	87465	382
07/2005	87461	2971
07/2005	87465	327
07/2005	87469	3
08/2005	87461	2298
08/2005	87463	3
08/2005	87465	192
08/2005	87469	25
09/2005	87461	2678
09/2005	87463	2
09/2005	87465	411
09/2005	87469	206
10/2005	87461	3307
10/2005	87463	147
10/2005	87465	263
10/2005	87469	5
11/2005	87461	2064
11/2005	87463	60
11/2005	87465	196
11/2005	87469	15
12/2005	87461	1910
12/2005	87463	3
12/2005	87465	349
12/2005	87469	317
01/2006	87461	2752
01/2006	87463	33
01/2006	87465	1730
01/2006	87469	175
02/2006	87461	915
02/2006	87463	22
02/2006	87465	2918
02/2006	87469	124
03/2006	87461	1851
03/2006	87463	31
03/2006	87465	14270
03/2006	87469	106
04/2006	87461	1975
04/2006	87463	5
04/2006	87465	9759
04/2006	87469	566
05/2006	87461	3287
05/2006	87463	19
05/2006	87465	12862
05/2006	87469	210
06/2006	87461	2934
06/2006	87463	129
06/2006	87465	12838
06/2006	87469	99
07/2006	87461	3135
07/2006	87463	47
07/2006	87465	19410
07/2006	87469	86
08/2006	87461	3137
08/2006	87465	26422
08/2006	87469	187
09/2006	87461	4277
09/2006	87463	7
09/2006	87465	14000
09/2006	87469	252
10/2006	87461	3179
10/2006	87463	1
10/2006	87465	3925
10/2006	87469	80
11/2006	87461	3073
11/2006	87463	11
11/2006	87465	17515
11/2006	87469	65
12/2006	87461	6235
12/2006	87463	19
12/2006	87465	20722
12/2006	87469	250
01/2007	87461	3758
01/2007	87465	21769
01/2007	87469	460
02/2007	87461	2378
02/2007	87463	25
02/2007	87465	34834
02/2007	87469	591
03/2007	87461	2570
03/2007	87463	1109
03/2007	87465	43760
03/2007	87469	468
04/2007	87461	1273
04/2007	87463	19
04/2007	87465	54064
04/2007	87469	405
05/2007	87461	4061
05/2007	87463	45
05/2007	87465	54435
05/2007	87469	7366
06/2007	87461	2340
06/2007	87463	19
06/2007	87465	32776
06/2007	87469	36216
07/2007	87461	1699
07/2007	87463	7
07/2007	87465	30101
07/2007	87469	30297
08/2007	87461	3622
08/2007	87463	53
08/2007	87465	22245
08/2007	87469	29944
09/2007	87461	4436
09/2007	87463	12
09/2007	87465	17928
09/2007	87469	31754
10/2007	87461	2859
10/2007	87463	85
10/2007	87465	22409
10/2007	87469	9807
11/2007	87461	4117
11/2007	87463	61
11/2007	87465	27123
